id;content;category
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1001;Why do programmers prefer dark mode? Because light attracts bugs.;PROGRAMMING
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1002;There are only 10 kinds of people in the world: those who understand binary and those who do not.;PROGRAMMING
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1003;A SQL query walks into a bar, walks up to two tables and asks: may I join you?;PROGRAMMING
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1004;I told my wife she was drawing her eyebrows too high. She looked surprised.;DAD
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1005;I only know 25 letters of the alphabet. I do not know y.;DAD
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1006;I used to be a banker, but I lost interest.;PUN
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1007;Time flies like an arrow. Fruit flies like a banana.;PUN
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1008;I would tell you a joke about an elevator, but it works on so many levels.;GENERAL
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1009;My boss told me to have a good day, so I went home.;GENERAL
0f4b0f1a-1d7e-4a35-9a1e-4c5f0b6d1010;Parallel lines have so much in common. It is a shame they will never meet.;GENERAL
